label_index,label,rank,tag_index,tag,corr,positive_rate,negative_rate,lift,is_exact_label_name
0,airport,1,177,airport,0.43444869050967155,0.582995951417004,0.005093701624968651,114.45405714749157,True
0,airport,2,158,aircraft,0.32988652147773423,0.5060728744939271,0.007644876462601507,66.19756708874833,False
0,airport,3,137,airplane,0.32751993754198416,0.5222672064777328,0.00835401658696047,62.51682479595203,False
0,airport,4,233,aviation,0.2833229734696354,0.3684210526315789,0.005456919737445193,67.51434970904813,False
0,airport,5,765,airplanes,0.23640248391978141,0.20445344129554655,0.002248493077235737,90.92869534646017,False
0,airport,6,287,jet,0.2345264030827403,0.2874493927125506,0.004981276971106864,57.70585079314916,False
0,airport,7,180,plane,0.2310099783932318,0.340080971659919,0.007445971305769114,45.67309098619758,False
0,airport,8,869,runway,0.17775469097407381,0.1396761133603239,0.00196310741743274,71.15016255267344,False
0,airport,9,733,wing,0.1615790998689724,0.13360323886639677,0.002248493077235737,59.4187529556979,False
0,airport,10,174,flying,0.15947216332488054,0.242914979757085,0.008258888033692804,29.4125183246112,False
1,animal,1,29,animal,0.39663606539624696,0.19105831320550107,0.0010642737896494156,179.51821221333958,True
1,animal,2,49,wildlife,0.3094544220652118,0.1267806969980776,0.0021807178631051754,58.136876747909476,False
1,animal,3,56,animals,0.2966182685713723,0.1148025829348844,0.001669449081803005,68.76634125761163,False
1,animal,4,93,zoo,0.2677808026444205,0.08897323409079706,0.0005321368948247078,167.19677396615333,False
1,animal,5,88,cat,0.24011783571267117,0.07788238773598856,0.0014712020033388982,52.93757633790057,False
1,animal,6,65,bird,0.22530489883291577,0.08488194410213437,0.00462228714524207,18.36358663992578,False
1,animal,7,100,dog,0.20674018389243182,0.06521417656627397,0.002493739565943239,26.151056808949168,False
1,animal,8,251,pet,0.1778488962774739,0.04007492482870804,0.00031302170283806343,128.02196859095602,False
1,animal,9,293,cats,0.1654108575749231,0.035589293636318825,0.00041736227045075126,85.26992844513437,False
1,animal,10,228,deer,0.16241686221208285,0.036673731946566764,0.000813856427378965,45.0611313021887,False
2,beach,1,20,beach,0.5602595751904977,0.6942231075697212,0.020501259779870044,33.86244486433571,True
2,beach,2,75,sand,0.33636519505780516,0.27556440903054447,0.00919418291119657,29.97157245797678,False
2,beach,3,14,sea,0.26527314154621295,0.3738379814077025,0.034425142554037926,10.859443275403956,False
2,beach,4,37,ocean,0.2169521365307075,0.24900398406374502,0.022472704769482384,11.080280981534495,False
2,beach,5,213,waves,0.1683978786111382,0.10159362549800798,0.005764045440480927,17.625374451556535,False
2,beach,6,371,seascape,0.13987693691677927,0.0697211155378486,0.003916368297750077,17.802449160210784,False
2,beach,7,358,shore,0.13683042975105222,0.0693891102257636,0.004093179507580781,16.952335115990028,False
2,beach,8,153,coast,0.13479771442570265,0.09395750332005312,0.008124475091720816,11.564734535090682,False
2,beach,9,989,pebbles,0.13306701820035058,0.042164674634794154,0.0013260840737302744,31.796148908339358,False
2,beach,10,113,rocks,0.11025984125602849,0.08897742363877822,0.010829686602130574,8.216059683636317,False
3,bear,1,229,bear,0.8009791045246227,0.8563218390804598,0.0017066472611343573,501.7538486381804,True
3,bear,2,787,bears,0.3327728425882182,0.23132183908045978,0.001472741291334217,157.06782974258826,False
3,bear,3,822,polar,0.31367172004394356,0.20833333333333334,0.0013601198984674828,153.17165189006693,False
3,bear,4,93,zoo,0.2543245742678888,0.4267241379310345,0.013505903959941437,31.59535513084853,False
3,bear,5,776,giant,0.24417868922392705,0.15804597701149425,0.0015160572116675764,104.24734853123948,False
3,bear,6,419,mammal,0.15213242291027607,0.14798850574712644,0.004470202978402682,33.10547315354231,False
3,bear,7,29,animal,0.14731077345267835,0.3793103448275862,0.032175065623619305,11.788949908454585,False
3,bear,8,269,alaska,0.10501554190444011,0.1206896551724138,0.006419419393403852,18.800684262751748,False
3,bear,9,126,china,0.0888752589949452,0.1206896551724138,0.008853774116138646,13.631421727622781,False
3,bear,10,118,baby,0.07671153702442042,0.11206896551724138,0.01004063033327269,11.161536694613691,False
4,birds,1,119,birds,0.5417238574408693,0.43992519869097707,0.0038249640313015405,115.01390730783126,True
4,birds,2,65,bird,0.522291232729468,0.5343618513323983,0.008965856055023336,59.59958112836291,False
4,birds,3,583,eagle,0.23877324596437435,0.11126694717157551,0.0017984349229743482,61.86842629995989,False
4,birds,4,900,hawk,0.2256077018255708,0.09022907900888266,0.0011843351931782294,76.18478930686578,False
4,birds,5,909,booby,0.19283119999619797,0.0766713417484806,0.0013773379653998666,55.665927328844354,False
4,birds,6,223,flight,0.14936015473973774,0.10144927536231885,0.0057199003403867075,17.736167059475296,False
4,birds,7,49,wildlife,0.14107011356003712,0.18139317438055166,0.020993437905744466,8.640466549133016,False
4,birds,8,263,wings,0.11540128722715394,0.07573632538569425,0.005456714741902656,13.879449480767912,False
4,birds,9,0,nature,0.09676126954844001,0.3010752688172043,0.09059725585149314,3.32322698690186,False
4,birds,10,56,animals,0.09160456260203932,0.11827956989247312,0.0196160999403446,6.029716404127947,False
5,boats,1,168,boats,0.4664314056903795,0.3300597779675491,0.0032078041921167113,102.89242711709419,True
5,boats,2,66,boat,0.31185022812950924,0.3074295473953886,0.012092982379048205,25.422124463422943,False
5,boats,3,525,ships,0.1789327725890262,0.0807002561912895,0.002232280177527794,36.15133328260354,False
5,boats,4,693,sailboat,0.1774650398268752,0.07472245943637916,0.0018719514874544097,39.916670261197865,False
5,boats,5,706,sailing,0.1686147499414045,0.06703672075149444,0.001661027376191941,40.35835178205407,False
5,boats,6,823,sails,0.16725951412489182,0.06490179333902647,0.0015643538251966429,41.4876656527571,False
5,boats,7,982,sail,0.16250280397369754,0.05892399658411614,0.0013270642000263655,44.401440841021156,False
5,boats,8,112,ship,0.14580537416824405,0.12339880444064902,0.00984312519224854,12.536535568243082,False
5,boats,9,430,harbour,0.13643001799455676,0.07002561912894961,0.0033923627894713714,20.642079592868566,False
5,boats,10,380,harbor,0.13588848160535003,0.0721605465414176,0.0036648064331853934,19.6900875820121,False
6,book,1,607,book,0.12433016590070745,0.3333333333333333,0.0012316331627995108,270.64116734563805,True
6,book,2,775,ceiling,0.025761960213343964,0.047619047619047616,0.0005942845330990646,80.12703292209127,False
6,book,3,689,apartments,0.023306079301552,0.09523809523809523,0.0028336175563709026,33.60995873433312,False
6,book,4,159,home,0.02318718369682419,0.14285714285714285,0.006287358103801699,22.721296176497653,False
6,book,5,647,collage,0.01941578327443402,0.047619047619047616,0.001033538318433156,46.07337341638503,False
6,book,6,684,furniture,0.01870120243220746,0.047619047619047616,0.0011110536923156426,42.85898094626919,False
6,book,7,623,library,0.015007599610863225,0.047619047619047616,0.0016881125867741547,28.208293634672117,False
6,book,8,464,kitchen,0.014538357093759542,0.047619047619047616,0.0017914664186174701,26.580901162961727,False
6,book,9,852,chapel,0.013937225363740428,0.047619047619047616,0.0019378843470621674,24.57257677191625,False
6,book,10,855,judge,0.01383798017142276,0.047619047619047616,0.0019637228050229964,24.249255039811782,False
7,bridge,1,94,bridge,0.7392380566031311,0.84,0.004602921854742576,182.49238452976795,True
7,bridge,2,727,bridges,0.2568693858046997,0.13833333333333334,0.001496602190955998,92.43098791342165,False
7,bridge,3,48,river,0.137083457833319,0.22333333333333333,0.020761004811750066,10.757342324467388,False
7,bridge,4,230,bay,0.08498720170388925,0.08,0.006873928667763015,11.638161739088428,False
7,bridge,5,458,arch,0.08265893933370712,0.0475,0.002566846781000113,18.505126718247517,False
7,bridge,6,984,cables,0.08113596575030323,0.0325,0.001200762222976324,27.065924226197573,False
7,bridge,7,420,gate,0.07773490498637282,0.0475,0.0029148938021526707,16.29556692914566,False
7,bridge,8,15,night,0.07548376717698464,0.16666666666666666,0.032194349456611586,5.176890594493228,False
7,bridge,9,3,water,0.06627529194229756,0.2658333333333333,0.08308752512464435,3.1994371109281503,False
7,bridge,10,21,city,0.06004698159420801,0.13,0.02886179922907585,4.504222481972333,False
8,buildings,1,17,architecture,0.23562615553606148,0.15491740299654244,0.01657286099418247,9.347650932112044,False
8,buildings,2,125,buildings,0.22326101516505376,0.08567038033038801,0.00376483942676063,22.75532979391979,True
8,buildings,3,47,building,0.17592069053749398,0.09402612370341913,0.011058033391666272,8.502962990204985,False
8,buildings,4,21,city,0.16786473364940754,0.12101421436803687,0.02093364234025446,5.7808461897177885,False
8,buildings,5,239,skyline,0.14948922733120126,0.04888590088359585,0.003509435747055763,13.929809550299648,False
8,buildings,6,15,night,0.14678340416795038,0.11784479446792163,0.02528496429078182,4.6606653861967535,False
8,buildings,7,353,cityscape,0.13351811917601972,0.03620822128313485,0.002260795535165303,16.015632799876094,False
8,buildings,8,576,skyscraper,0.11395340034052706,0.024683058009988476,0.0013432341673367072,18.375712033746165,False
8,buildings,9,181,downtown,0.11191677916626032,0.039665770265078754,0.0048432105188478455,8.189959575599678,False
8,buildings,10,40,urban,0.10732127904168216,0.06607760276603919,0.01455800974317741,4.53891490269522,False
9,cars,1,205,cars,0.6423533963018142,0.6499402628434886,0.002654176424668228,244.87363314154953,True
9,cars,2,74,car,0.27110108785033227,0.3978494623655914,0.011935120131841443,33.33432212055891,False
